SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActivationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator,IcaoIdentifier,MinimumOperationalNetwork
02586.1*A,AIRPORT,'DRO,4/22/21,ANM,DEN,CO,COLORADO,LA PLATA,CO,DURANGO,DURANGO-LA PLATA COUNTY,PU,PU,DURANGO CITY LA PLATA CO,1000 AIRPORT ROAD BOX 15,"DURANGO, CO 81303",    970-382-6050,ANTHONY VICARI - DIR OF AVIATION,1000 AIRPORT ROAD BOX 15,"DURANGO, CO 81303",  (970) 382-6051,37-09-05.5000N,133745.5000N,107-45-13.6000W,387913.6000W,E,6689,S,10E,2010,,DENVER,10,SE,1281,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,DRO,Y,11/1/46,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,8092019,,100LLA,MAJOR,MAJOR,LOW,,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,51,11,3,1,2,,,5840,,5226,4789,4789,462,1/1/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,CHTR",Y-L,KDRO,N
02588.*A,AIRPORT,'EGE,4/22/21,ANM,DEN,CO,COLORADO,EAGLE,CO,EAGLE,EAGLE COUNTY RGNL,PU,PU,EAGLE COUNTY,BOX 850,"EAGLE, CO 81631",    970-328-2680,DAVID REID,219 ELDON WILSON ROAD,"GYPSUM, CO 81637",  (970) 328-2680,39-38-33.9000N,142713.9000N,106-54-57.4000W,384897.4000W,E,6547,S,09E,2020,,DENVER,4,W,632,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,EGE,Y,7/1/40,O,I C S 12/1986,NGZY,NO OBJECTION,N,N,N,Y,F,F,6072019,,100LLA1   A1+  MOGAS,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,,119.8,Y,CG,Y,,48,2,22,13,4,0,0,4379,,8143,6420,17989,5705,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,CHTR,INSTR,RNTL,SALES",Y-L,KEGE,N
02603.1*A,AIRPORT,'FNL,4/22/21,ANM,DEN,CO,COLORADO,LARIMER,CO,FORT COLLINS/LOVELAND,NORTHERN COLORADO RGNL,PU,PU,FORT COLLINS & LOVELAND,4900 EARHART ROAD,"LOVELAND, CO 80538",    970-962-2850,JASON LICON,4900 EARHART ROAD,"LOVELAND, CO 80538",    970-962-2852,40-27-06.5780N,145626.5780N,105-00-40.8080W,378040.8080W,E,5015,S,09E,2010,,CHEYENNE,9,SE,1065,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,FNL,Y,,O,I B S 08/1993,NGY,NO OBJECTION,N,N,N,Y,S,F,5152019,,100LLA,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,,118.4,Y,CG,N,,213,14,10,17,1,0,0,46,,3500,35150,56000,200,12/31/18,NGS,00:00.0,NGS,00:00.0,Y,"HGR,TIE","CHTR,INSTR,RNTL,SALES,SURV",Y-L,KFNL,N
02624.*A,AIRPORT,'GJT,4/22/21,ANM,DEN,CO,COLORADO,MESA,CO,GRAND JUNCTION,GRAND JUNCTION RGNL,PU,PU,GRAND JUNCTION REG ARPT AUTH,2828 WALKER FLD DR SUITE 301,"GRAND JUNCTION, CO 81506",    970-244-9100,ANGELA PADALECKI,2828 WALKER FIELD DRIVE SUITE 301,"GRAND JUNCTION, CO 81506",,39-07-20.7000N,140840.7000N,108-31-36.3000W,390696.3000W,E,4861,S,13E,1990,,DENVER,3,NE,2357,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,GJT,Y,4/1/40,O,I B S 05/1973,NGSY3,NO OBJECTION,N,N,N,Y,F,F,8292019,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,118.1,Y,CG,N,,107,15,3,1,,,,4937,,9329,10811,21338,2408,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KGJT,N
02631.*A,AIRPORT,'GUC,4/22/21,ANM,DEN,CO,COLORADO,GUNNISON,CO,GUNNISON,GUNNISON-CRESTED BUTTE RGNL,PU,PU,COUNTY OF GUNNISON,519 RIO GRANDE,"GUNNISON, CO 81230",    970-641-2304,RICHARD LAMPORT,519 RIO GRANDE,"GUNNISON, CO 81230",  (970) 642-7388,38-32-03.6000N,138723.6000N,106-55-54.3000W,384954.3000W,E,7679,S,12E,1990,,DENVER,1,SW,1600,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,GUC,Y,8/1/47,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,7182019,,100LLA+,NONE,NONE,NONE,HIGH/LOW,SEE RMK,SEE RMK,N,122.7,122.7,Y,CG,N,,23,6,1,,,,,566,,763,1990,4938,460,6/30/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,INSTR,SURV",Y-L,KGUC,Y
02635.7*A,AIRPORT,'HDN,4/22/21,ANM,DEN,CO,COLORADO,ROUTT,CO,HAYDEN,YAMPA VALLEY,PU,PU,ROUTT COUNTY,PO BOX 773598,STEAMBOAT SPRNGS CO 804773598,    970-879-0108,KEVIN BOOTH,"11005 RCR 51A, PO BOX 1060","HAYDEN, CO 81639",    970-276-5004,40-28-52.3000N,145732.3000N,107-13-03.6000W,385983.6000W,E,6606,S,10E,2010,,CHEYENNE,2,SE,671,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,HDN,Y,,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,6192019,,100LLA,NONE,NONE,HIGH/LOW,,SEE RMK,SS-SR,N,123,123,Y,CG,Y,,5,3,1,,0,,,2100,,3955,1714,3699,6,1/1/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB",Y-L,KHDN,N
02692.*A,AIRPORT,'MTJ,4/22/21,ANM,DEN,CO,COLORADO,MONTROSE,CO,MONTROSE,MONTROSE RGNL,PU,PU,MONTROSE COUNTY,161 S. TOWNSEND,"MONTROSE, CO 81401",    970-249-7755,LLOYD ARNOLD,2100 AIRPORT ROAD,"MONTROSE, CO 81401",    970-249-3433,38-30-35.3000N,138635.3000N,107-53-39.3000W,388419.3000W,E,5758,S,12E,1995,,DENVER,1,NW,966,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,MTJ,Y,9/1/46,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,7172019,,100LLA+,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,59,13,2,3,3,,1,6850,,200,14000,13500,2000,12/31/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,INSTR,RNTL",Y-L,KMTJ,N
02709.*A,AIRPORT,'PUB,4/22/21,ANM,DEN,CO,COLORADO,PUEBLO,CO,PUEBLO,PUEBLO MEML,PU,PU,CITY OF PUEBLO,1 CITY HALL,"PUEBLO, CO 81003",  (719) 553-2744,GREG PEDROZA,31201 BRYAN CIRCLE,"PUEBLO, CO 81001",    719-553-2744,38-17-23.8110N,137843.8110N,104-29-52.9010W,376192.9010W,E,4729,S,08E,2015,,DENVER,5,E,3872,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,PUB,Y,2/1/44,O,I A S 05/1973,NGPY,NO OBJECTION,N,N,N,Y,F,F,2262020,,100LLA,MAJOR,MAJOR,HIGH,,SEE RMK,SEE RMK,Y,122.95,119.1,Y,CG,N,,109,6,4,1,1,0,0,170,,4133,5559,15998,170409,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AGRI,AMB,CHTR,INSTR,RNTL,SALES,SURV",Y,KPUB,N
02742.*A,AIRPORT,'TEX,4/22/21,ANM,DEN,CO,COLORADO,SAN MIGUEL,CO,TELLURIDE,TELLURIDE RGNL,PU,PU,TELLURIDE REGIONAL ARPT AUTH,1500 LAST DALLAR RD. SUITE 1,"TELLURIDE, CO 81435",    970-728-8600,KENNETH E. MAENPA,1500 LAST DOLLAR RD. SUITE 1,"TELLURIDE, CO 81435",  (970) 728-8601,37-57-13.7000N,136633.7000N,107-54-31.5000W,388471.5000W,E,9069,S,09E,2020,1414,DENVER,5,W,542,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,TEX,Y,3/1/86,O,I B S 10/1992,N,CONDITIONAL,,,,,S,F,8072019,,100LLA,,,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,N,123,123,Y,CG,Y,,18,3,4,1,1,0,0,32,,,0,9370,,1/2/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CHTR,GLD",Y-L,KTEX,N
02785.*A,AIRPORT,'BDR,4/22/21,ANE,NONE,CT,CONNECTICUT,FAIRFIELD,CT,BRIDGEPORT,IGOR I SIKORSKY MEML,PU,PU,CITY OF BRIDGEPORT,45 LYON TERRACE,"BRIDGEPORT, CT 06615",    203-576-7201,MICHELLE MUOIO,1000 GREAT MEADOW RD,"STRATFORD, CT 06497",    203-576-8163,41-09-48.5310N,148188.5310N,073-07-34.2330W,263254.2330W,E,8,S,13W,1980,,NEW YORK,3,SE,800,ZNY,ZCN,NEW YORK,ZNY,ZCN,NEW YORK,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,BDR,Y,4/1/40,O,IV A U 02/2017,NGSPY3,NOT ANALYZED,N,Y,N,Y,F,F,4172019,,100LLA,MAJOR,MAJOR,HIGH/LOW,,SEE RMK,SS-SR,Y,123,120.9,Y,CG,Y,,107,10,32,5,1,0,0,0,,3094,26081,20240,233,2/28/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KBDR,N
02823.*A,AIRPORT,'GON,4/22/21,ANE,NONE,CT,CONNECTICUT,NEW LONDON,CT,GROTON (NEW LONDON),GROTON-NEW LONDON,PU,PU,CONNECTICUT AIRPORT AUTHORITY,"BRADLEY INTERNATIONAL AIRPORT, ADMIN OFFICES TERMINAL A 3RD FLOOR","WINDSOR LOCKS, CT 06096",    860-292-2083,KURT SENDLEIN,155 TOWER AVE,"GROTON, CT 06340",    860-445-8549,41-19-48.2000N,148788.2000N,072-02-42.5000W,259362.5000W,E,9,S,14W,1980,,NEW YORK,3,SE,489,ZBW,ZCB,BOSTON,ZBW,ZCB,BOSTON,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,GON,Y,4/1/40,O,IV A U 05/1984,NGPY3,NOT ANALYZED,N,Y,N,Y,F,F,4202018,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,,125.6,Y,CG,Y,,29,9,4,1,0,2,0,1,,1107,13146,6052,1801,4/13/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SURV",Y-L,KGON,N
02858.*A,AIRPORT,'HVN,4/22/21,ANE,NONE,CT,CONNECTICUT,NEW HAVEN,CT,NEW HAVEN,TWEED-NEW HAVEN,PU,PU,CITY OF NEW HAVEN,155 BURR STREET,"NEW HAVEN, CT 06510",    203-466-8833,JEREMY NIELSON,155 BURR ST,"NEW HAVEN, CT 06512",    203-466-8833,41-15-49.4980N,148549.4980N,072-53-12.4820W,262392.4820W,E,12,S,13W,1980,999,NEW YORK,3,SE,394,ZNY,ZCN,NEW YORK,ZNY,ZCN,NEW YORK,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,HVN,Y,4/1/40,O,I A S 05/1973,NGY3,NOT ANALYZED,N,Y,N,Y,F,F,6142019,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,124.8,Y,CG,Y,,30,3,16,,,,,1906,,5907,9954,9525,655,5/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL,SALES",Y-L,KHVN,N
02946.*A,AIRPORT,'BDL,4/22/21,ANE,NONE,CT,CONNECTICUT,HARTFORD,CT,WINDSOR LOCKS,BRADLEY INTL,PU,PU,CONNECTICUT AIRPORT AUTHORITY,"AIRPORT ADMINISTRATION OFFICE, TERMINAL A, 3RD FLOOR","WINDSOR LOCKS, CT 06096-1022",    860-594-2530,"KEVIN DILLON, AAE",BRADLEY INTL AIRPORT,"WINDSOR LOCKS, CT 06096",    860-292-2003,41-56-20.9000N,150980.9000N,072-41-00.1000W,261660.1000W,E,173,S,14W,1980,,NEW YORK,3,W,2432,ZBW,ZCB,BOSTON,ZBW,ZCB,BOSTON,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,BDL,Y,7/1/42,O,I C S 05/1973,NGPY,NOT ANALYZED,N,Y,N,Y,F,F,4132016,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,4,2,31,7,,20,,57046,,19269,356,14355,2652,3/31/16,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,SALES",Y-L,KBDL,Y
03001.*A,AIRPORT,'DCA,4/22/21,AEA,DCA,DC,DIST. OF COLUMBIA,ARLINGTON,VA,WASHINGTON,RONALD REAGAN WASHINGTON NTL,PU,PU,METRO WASH ARPT AUTHORITY,1 AVIATION CIRCLE,"WASHINGTON, DC 20001-6000",    703-417-8600,"PAUL MALANDRINO, JR.",1 AVIATION CIRCLE,"WASHINGTON, DC 20001-6000",    703-417-8050,38-51-05.2000N,139865.2000N,077-02-15.8000W,277335.8000W,E,14,S,11W,2020,,WASHINGTON,3,S,861,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,DCA,LEESBURG,,1-800-WX-BRIEF,,,,DCA,Y,3/1/41,O,I C S 05/1973,NGXYH,NOT ANALYZED,N,Y,N,N,F,F,10212019,,A,MINOR,MINOR,NONE,NONE,,SS-SR,Y,122.95,,N,CG,Y,,,,,,,,,239759,,52704,,2836,2784,9/1/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L,KDCA,N
03002.*A,AIRPORT,'IAD,4/22/21,AEA,DCA,DC,DIST. OF COLUMBIA,LOUDOUN,VA,WASHINGTON,WASHINGTON DULLES INTL,PU,PU,METRO WASH ARPT AUTHORITY,1 AVIATION CIRCLE,"WASHINGTON, DC 20001-6000",    703-417-8600,MIKE STEWART,"1 SAARINEN CIRCLE, SAARINEN CENTER MA-210","DULLES, VA 20166",    703-572-2730,38-56-50.8000N,140210.8000N,077-27-35.8000W,278855.8000W,E,313,S,10W,2000,,WASHINGTON,20,W,13000,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,DCA,LEESBURG,,1-800-WX-BRIEF,,,,IAD,Y,11/1/62,O,I E S 05/1973,NGHPY,NO OBJECTION,N,Y,N,Y,F,F,10132020,,100LLA,MAJOR,MAJOR,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,Y,,9,0,56,1,,,,169555,,87816,0,33470,1120,4/30/20,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,SALES",Y-L,KIAD,N
02967.*A,AIRPORT,'DOV,4/22/21,AEA,HAR,DE,DELAWARE,KENT,DE,DOVER,DOVER AFB,MA,PU,USAF,DOVER AFB,"DOVER, DE 19901",,CHIEF AFLD MANAGEMENT/ MR HETTEROTH,DOVER AFB,"DOVER, DE 19901",    302-677-4183,39-07-46.3400N,140866.3400N,075-27-57.4600W,271677.4600W,E,28,E,12W,2020,,WASHINGTON,3,E,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,MIV,MILLVILLE,,1-800-WX-BRIEF,,,,DOV,Y,,O,IV A U 11/2005,,NOT ANALYZED,Y,,Y,N,,F,6292006,2072012,A+   J8,MAJOR,MAJOR,LOW,LOW,,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,124000,,MILITARY,00:00.0,MILITARY,00:00.0,,HGR,CARGO,,KDOV,N
02999.*A,AIRPORT,'ILG,4/22/21,AEA,HAR,DE,DELAWARE,NEW CASTLE,DE,WILMINGTON,NEW CASTLE,PU,PU,DELAWARE RIVER & BAY AUTHORITY,151 N. DUPONT HIGHWAY,"NEW CASTLE, DE 19720-0071",  (302) 571-6445,BENJAMIN CLENDANIEL,151 N. DUPONT HIGHWAY,"NEW CASTLE, DE 19720-0071",  (302) 229-6315,39-40-43.3550N,142843.3550N,075-36-23.8860W,272183.8860W,E,79,S,10W,1980,,WASHINGTON,4,S,1250,ZDC,ZCW,WASHINGTON,ZNY,ZCN,NEW YORK,N,MIV,MILLVILLE,,1-800-WX-BRIEF,,,,ILG,Y,5/1/43,O,I B S 05/1973,NG3YPH,NO OBJECTION,N,Y,N,Y,F,F,1062020,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,126,N,CG,Y,,94,26,74,5,0,20,0,14,,3573,16141,23199,5097,11/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,AVNCS,CARGO,INSTR,RNTL,SALES",Y-L,KILG,N
03147.*A,AIRPORT,'DAB,4/22/21,ASO,ORL,FL,FLORIDA,VOLUSIA,FL,DAYTONA BEACH,DAYTONA BEACH INTL,PU,PU,VOLUSIA COUNTY,123 W INDIANA AVE,"DELAND, FL 32720-4612",    386-248-8030,"MS KAREN K FEASTER, AAE, IACE, ACE","700 CATALINA DR, SUITE 300, DAYTONA BEACH INTL ARPT","DAYTONA BEACH, FL 32114",    386-248-8030,29-10-47.7000N,105047.7000N,081-03-29.0000W,291809.0000W,E,34,S,05W,2000,965,JACKSONVILLE,3,SW,1800,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,DAB,Y,4/1/40,O,I C S 05/1973,NGPRY3,NO OBJECTION,N,N,N,Y,F,F,10232019,,100LLA,MAJOR,MAJOR,NONE,HIGH,SS-SR,SS-SR,Y,122.95,,N,CG,N,,169,45,25,2,,,,6947,,150128,120812,47121,1767,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SURV",Y-L,KDAB,N
03192.*A,AIRPORT,'FLL,4/22/21,ASO,ORL,FL,FLORIDA,BROWARD,FL,FORT LAUDERDALE,FORT LAUDERDALE/HOLLYWOOD INTL,PU,PU,BROWARD COUNTY,"115 S. ANDREWS AVENUE, ROOM 421","DANIA BEACH, FL 33312-1872",    954-359-6100,MARK GALE,320 TERMINAL DRIVE SUITE 200,"FORT LAUDERDALE, FL 33315",    954-359-6100,26-04-18.0000N,093858.0000N,080-08-58.9000W,288538.9000W,E,65,S,06W,2015,,MIAMI,3,SW,1380,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,FLL,Y,4/1/40,O,I E S 05/1973,NGPSY,NO OBJECTION,Y,Y,N,Y,F,F,2272020,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,23,13,74,1,,,,164417,,24367,24341,,696,1/31/21,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y,KFLL,N
03198.2*A,AIRPORT,'RSW,4/22/21,ASO,ORL,FL,FLORIDA,LEE,FL,FORT MYERS,SOUTHWEST FLORIDA INTL,PU,PU,BOARD OF COM LEE CO PORT AUTH,PO BOX 398,"FORT MYERS, FL 33902",    239-590-4800,BEN SIEGEL,11000 TERMINAL ACCESS RD.,"FORT MYERS, FL 33913",    239-590-4400,26-32-10.2000N,095530.2000N,081-45-18.6000W,294318.6000W,E,29,S,04W,2000,,MIAMI,10,SE,13555,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,,MIA,MIAMI,,1-800-WX-BRIEF,,,,RSW,Y,3/1/83,O,I D S 05/1983,NGY,NO OBJECTION,N,Y,,Y,F,F,5172019,6202002,100LLA    A+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,128.75,Y,CG,Y,,,0,4,0,,,,69941,,4674,52,5944,1132,3/31/19,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE",CARGO,Y-L,KRSW,N
03210.*A,AIRPORT,'GNV,4/22/21,ASO,ORL,FL,FLORIDA,ALACHUA,FL,GAINESVILLE,GAINESVILLE RGNL,PU,PU,GAINESVILLE-ALACHUA CO AUTH,3880 NE 39TH AVE,"GAINESVILLE, FL 32609",    352-373-0249,ALLAN PENKSA,3880 NE 39 AVE STE A,"GAINESVILLE, FL 32609",    352-373-0249,29-41-24.2000N,106884.2000N,082-16-18.4000W,296178.4000W,E,151,S,04W,2005,,JACKSONVILLE,3,NE,1650,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,4/1/40,O,I B S 05/1973,NGPY3,NO OBJECTION,N,N,N,Y,F,F,11202019,,100  A,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,119.55,Y,CG,N,,101,18,28,9,,,,4163,,5179,17350,36869,4134,9/30/20,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CARGO,INSTR,RNTL,SALES",Y-L,KGNV,N
03250.1*A,AIRPORT,'JAX,4/22/21,ASO,ORL,FL,FLORIDA,DUVAL,FL,JACKSONVILLE,JACKSONVILLE INTL,PU,PU,JACKSONVILLE INTL AIRPORT,14201 PECAN PARK ROAD,"JACKSONVILLE, FL 32218",    904-741-2000,MR. TERRY DLUGOS,14201 PECAN PARK ROAD,"JACKSONVILLE, FL 32218",  (904) 741-3866,30-29-38.5640N,109778.5640N,081-41-16.2480W,294076.2480W,E,29,S,06W,2010,,JACKSONVILLE,9,N,7911,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,JAX,Y,11/1/68,O,I D S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,7092019,,100LLA,MAJOR,MINOR,,,SS-SR,SS-SR,Y,122.95,,Y,CG,N,,3,4,31,,,18,,58083,,14355,818,11171,9504,5/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,SURV",Y-L,KJAX,N
03263.*A,AIRPORT,'EYW,4/22/21,ASO,ORL,FL,FLORIDA,MONROE,FL,KEY WEST,KEY WEST INTL,PU,PU,MONROE COUNTY,3491 S ROOSEVELT BLVD,"KEY WEST, FL 33040-5260",    305-809-5200,RICHARD STRICKLAND,3491 S ROOSEVELT BLVD,"KEY WEST, FL 33040-5260",    305-809-5200,24-33-22.0310N,088402.0310N,081-45-35.8410W,294335.8410W,E,3,S,04W,2000,,MIAMI,2,E,334,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,EYW,Y,4/1/40,O,I B S 12/1978,NGSY,NO OBJECTION,Y,Y,N,Y,F,F,3012019,,100LLA,MAJOR,MAJOR,LOW,NONE,SEE RMK,SS-SR,Y,122.95,118.2,Y,CG,N,,18,3,1,1,,,1,15915,,5043,2550,29821,549,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AMB,CHTR,INSTR,RNTL,SALES",Y-L,KEYW,N
03283.*A,AIRPORT,'LAL,4/22/21,ASO,ORL,FL,FLORIDA,POLK,FL,LAKELAND,LAKELAND LINDER INTL,PU,PU,CITY OF LAKELAND,3900 DON EMERSON DRIVE SUITE 210,"LAKELAND, FL 33811",    863-834-3298,EUGENE CONRAD,3900 DON EMERSON DRIVE SUITE 210,"LAKELAND, FL 33811-1340",    863-834-3298,27-59-15.5000N,100755.5000N,082-01-08.4000W,295268.4000W,E,141,S,04W,2000,,MIAMI,4,SW,1710,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,LAL,Y,1/1/43,O,I B S 12/1977,NGPRY,NO OBJECTION,N,N,N,Y,F,F,1282020,,100LLA,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,,124.5,Y,CG,N,,151,31,73,5,3,0,0,10,,1279,46646,73110,3020,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y,KLAL,N
