Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone
Rio de Janeiro Brazil Temple,-23.00089400,-43.39991800,23°0'3"S,43°23'59"W,Avenida das Américas 8547 Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22621-120,Brazil,
Rome Italy Temple,41.97043700,12.54476400,41°58'13"N,12°32'41"E,Via di Settebagni 376,Rome,,,Italy,(+39) 06-9480-5050
Sacramento California Temple,38.63511600,-121.19392500,38°38'6"N,121°11'38"W,2110 California Circle,Rancho Cordova,California,95742,United States,(+1) 916-357-5870
Salt Lake Temple,40.77046800,-111.89195800,40°46'13"N,111°53'31"W,50 West North Temple Street,Salt Lake City,Utah,84150-0701,United States,(+1) 801-240-2640
Salta Argentina Temple,-24.83719700,-65.47000100,24°50'13"S,65°28'12"W,Ruta 51,Salta,,,Argentina,
Salvador Brazil Temple,-12.92925100,-38.38638600,12°55'45"S,38°23'10"W,,Salvador,Bahia,,Brazil,
San Antonio Texas Temple,29.64148100,-98.48878900,29°38'29"N,98°29'19"W,20080 Stone Oak Parkway,San Antonio,Texas,78258-6920,United States,(+1) 210-538-0034
San Diego California Temple,32.86638900,-117.22876900,32°51'59"N,117°13'43"W,7474 Charmant Drive,San Diego,California,92122-5000,United States,(+1) 858-622-0991
San José Costa Rica Temple,9.98641800,-84.18483100,9°59'11"N,84°11'5"W,Del Hotel Marriott 600 Metros Oeste La Ribera de Belén,Heredia,,40702,Costa Rica,(+506) 2293-6681
San Juan Puerto Rico Temple,18.38562300,-66.02989600,18°23'8"N,66°1'47"W,123 Calle Ronda Urbanización Villa Andalucía,San Juan,,00926,Puerto Rico,
San Pedro Sula Honduras Temple,15.52254400,-88.03685600,15°31'21"N,88°2'12"W,Bulevar Mario Catarino Rivas,San Pedro Sula,Cortés,,Honduras,
San Salvador El Salvador Temple,13.68334700,-89.24682200,13°41'0"N,89°14'48"W,Avenida El Espino y Calle El Pedregal Colonia San Benito,Antiguo Cuscatlán,La Libertad,,El Salvador,(+503) 2520-2631
Santiago Chile Temple,-33.43617400,-70.60952100,33°26'10"S,70°36'34"W,Pocuro 1940 Providencia,Santiago,Región Metropolitana,664-1404,Chile,(+56) 22-340-5070
Santo Domingo Dominican Republic Temple,18.46656700,-69.91714400,18°27'59"N,69°55'1"W,Avenida Bolivar no. 825 Los Robles,Santo Domingo,Distrito Nacional,10106,Dominican Republic,(+1) 809-731-2000
São Paulo Brazil Temple,-23.58517400,-46.72276400,23°35'6"S,46°43'21"W,Avenida Professor Francisco Morato 2390 Caxingui,São Paulo,São Paulo,05512-900,Brazil,(+55) 11-3723-7600
Sapporo Japan Temple,43.02490000,141.44570000,43°1'29"N,141°26'44"E,1-6-1 Oyachi-Nishi Atsubetsu-ku,Sapporo,Hokkaid?,004-0042,Japan,(+81) 11-890-8120
Saratoga Springs Utah Temple,40.34370700,-111.93325700,40°20'37"N,111°55'59"W, 987 South Ensign Drive,Saratoga Springs,Utah,,United States,
Seattle Washington Temple,47.58407000,-122.14087600,47°35'2"N,122°8'27"W,2808 148th Avenue SE,Bellevue,Washington,98007-6453,United States,(+1) 425-643-5144
Seoul Korea Temple,37.55891300,126.93128600,37°33'32"N,126°55'52"E,500-23 Changcheon-dong Seodaemun-gu,Seoul-si,Seoul-teukbyeolsi,120-836,South Korea,(+82) 2-334-9100
Snowflake Arizona Temple,34.50249400,-110.11160700,34°30'8"N,110°6'41"W,1875 West Canyon Drive,Snowflake,Arizona,85937,United States,(+1) 928-536-6626
Spokane Washington Temple,47.62016300,-117.22069000,47°37'12"N,117°13'14"W,13710 East 40th Avenue,Spokane,Washington,99206,United States,(+1) 509-926-2824
St. George Utah Temple,37.10053500,-113.57804100,37°6'1"N,113°34'40"W,250 East 400 South,St. George,Utah,84770-3699,United States,(+1) 435-673-3533
St. Louis Missouri Temple,38.63965100,-90.46468500,38°38'22"N,90°27'52"W,12555 North Outer Forty Drive,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122
St. Paul Minnesota Temple,44.98026100,-92.96519900,44°58'48"N,92°57'54"W,2150 Hadley Avenue North,Oakdale,Minnesota,55128-4505,United States,(+1) 651-748-5910
Star Valley Wyoming Temple,42.71207300,-110.93253200,42°42'43"N,110°55'57"W,885 South Washington Street,Afton,Wyoming,,United States,(+1) 307-886-6820
Stockholm Sweden Temple,59.12467600,18.10917700,59°7'28"N,18°6'33"E,Tempelvägen 5,Västerhaninge,,SE-13742,Sweden,(+46) 8-5006-5500
Suva Fiji Temple,-18.11970500,178.43855900,18°7'10"S,178°26'18"E,2-20 Lakeba Street,Samabula,Suva,,Fiji,(+679) 338-8952
Sydney Australia Temple,-33.77561700,151.05059200,33°46'32"S,151°3'2"E,756 Pennant Hills Road (Corner of Pennant Hills Road and Moseley Street),Carlingford,New South Wales,2118,Australia,(+61) 2-9841-5471
Syracuse Utah Temple,41.09993800,-112.07654200,41°5'59"N,112°4'35"W,1025 South 2500 West,Syracuse,Utah,84075,United States,
Taipei Taiwan Temple,25.03137700,121.52779400,25°1'52"N,121°31'40"E,256 Ai Kuo East Road,Taipei,, 106,Taiwan,(+886) 2-2192-4930
Tallahassee Florida Temple,30.52011700,-84.23822200,30°31'12"N,84°14'17"W,2440 Papillon Way,Tallahassee,Florida,,United States,
Tampico Mexico Temple,22.25426200,-97.85586900,22°15'15"N,97°51'21"W,Avenida Ejército Mexicano no. 74 con 3A Avenida Colonia Lomas del Gallo,Ciudad Madero,Tamaulipas,89480,Mexico,(+52) 833-216-9660
Taylorsville Utah Temple,40.66671159,-111.95411000,40°40'0"N,111°57'14"W,2603 West 4700 South,Taylorsville,Utah,,United States,
Tegucigalpa Honduras Temple,14.05217400,-87.23801900,14°3'7"N,87°14'16"W,Residenciales Roble Oeste Boulevard Roble Oeste 3ra Calle Sur,Comayagüela,Francisco Morazán,,Honduras,(+504) 2264-1212
The Gila Valley Arizona Temple,32.86297100,-109.78997400,32°51'46"N,109°47'23"W,5291 West Highway 70,Central,Arizona,85531,United States,(+1) 928-428-7243
The Hague Netherlands Temple,52.05448700,4.50297900,52°3'16"N,4°30'10"E,Osijlaan 2,Zoetermeer,,NL-2722 CV,Netherlands,(+31) 79-343-5310
Tijuana Mexico Temple,32.48871300,-116.92944100,32°29'19"N,116°55'45"W,Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana,Tijuana,Baja California,22226,Mexico,(+52) 664-969-2690
Tokyo Japan Temple,35.65283800,139.72453900,35°39'10"N,139°43'28"E,5-8-10 Minami Azabu Minato-Ku,Tokyo,, 106-0047,Japan,
Toronto Ontario Temple,43.74433800,-79.74605900,43°44'39"N,79°44'45"W,10060 Bramalea Road,Brampton,Ontario,L6R 1A1,Canada,(+1) 905-799-1122
Trujillo Peru Temple,-8.10014900,-79.05851500,8°6'0"S,79°3'30"W,Av. Mansiche Km 35 Carretera hacia Huanchaco,Trujillo,La Libertad,,Peru,(+51) 44-602-130
Tucson Arizona Temple,32.33845400,-110.94917400,32°20'18"N,110°56'57"W,7281 N Skyline Dr,Tucson,Arizona,85718,United States,(+1) 520-395-3900
Tuxtla Gutiérrez Mexico Temple,16.76416400,-93.15915500,16°45'50"N,93°9'32"W,Carretera a Chicoasen Chiapas Kilómetro 14 Esquina Paseo de la Roseta Fraccionamiento San José Chapultepec,Tuxtla Gutiérrez,Chiapas,29047,Mexico,(+52) 961-615-8287
Twin Falls Idaho Temple,42.58682700,-114.44150900,42°35'12"N,114°26'29"W,1405 Eastland Drive North,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070
Urdaneta Philippines Temple,15.93856700,120.58176200,15°56'18"N,120°34'54"E,MacArthur Highway,Urdaneta,,,Philippines,
Vancouver British Columbia Temple,49.15121200,-122.65800900,49°9'4"N,122°39'28"W,20370 82nd Avenue,Langley,British Columbia,V2Y 2A9,Canada,(+1) 604-513-5933
Veracruz Mexico Temple,19.13441000,-96.10626000,19°8'3"N,96°6'22"W,Avenida Ejército Mexicano Esquina Michoacán Colonia Luís Echeverría,Boca del Río,Veracruz,94290,Mexico,(+52) 229-922-9621
Vernal Utah Temple,40.45320500,-109.53741300,40°27'11"N,109°32'14"W,170 South 400 West,Vernal,Utah,84078-2536,United States,(+1) 435-789-3220
Villahermosa Mexico Temple,17.98127600,-92.93737500,17°58'52"N,92°56'14"W,Avenida 27 de Febrero no. 1717 Colonia Atasta de Serra,Villahermosa,Tabasco,86100,Mexico,(+52) 993-352-2028
Washington D.C. Temple,39.01407900,-77.06562400,39°0'50"N,77°3'56"W,9900 Stoneybrook Drive,Kensington,Maryland,20895-3199,United States,(+1) 301-588-0650
Winnipeg Manitoba Temple,49.80054400,-97.19521200,49°48'1"N,97°11'42"W,2 Centre Street,Winnipeg,Manitoba,,Canada,
Winter Quarters Nebraska Temple,41.33407500,-95.96619000,41°20'2"N,95°57'58"W,8283 North 34th Street,Omaha,Nebraska,68112-2114,United States,(+1) 402-453-3406
Yigo Guam Temple,13.54174100,144.89014300,13°32'30"N,144°53'24"E,Marine Corps Drive and Milalak Drive,Yigo,,,Guam,
